flops_log10,size,custom,np_mm,numpy,torch
3.9133899436317554,11.0,0.0002181529998779297,0.0002181529998779297,7.748603820800781e-05,0.0001881122589111328
6.026485052299931,16.84962500721156,0.00031304359436035156,0.00011754035949707031,0.0014357566833496094,0.00029277801513671875
7.177798209733409,20.03677461028802,0.0011813640594482422,0.00021266937255859375,0.010784626007080078,0.0004220008850097656
7.973551601380955,22.239637567217926,0.0012552738189697266,0.0005700588226318359,0.053603172302246094,0.0007297992706298828
8.582297445933618,23.924812503605782,0.0032706260681152344,0.0011429786682128906,0.21895384788513184,0.0015747547149658203
9.075417983057717,25.28990497563786,0.0076198577880859375,0.0025162696838378906,0.6339821815490723,0.0051860809326171875
9.489903497917512,26.437314206251695,0.01858067512512207,0.004422187805175781,1.6579360961914062,0.010024070739746094
9.847417637822977,27.42701109431124,0.035733938217163086,0.009078264236450195,3.6787891387939453,0.015109777450561523
10.161746054581105,28.297158093186486,0.057373762130737305,0.013705730438232422,7.472174882888794,0.024921417236328125
10.442206475835063,29.07354922057604,0.10176825523376465,0.03314375877380371,14.156655073165894,0.05376720428466797
